Mã học viên,Ngày tháng năm sinh,Ngày đăng ký,Khóa học,Người đăng ký,Học phí,Thời lượng,Kết quả sau khi học,Điểm test đầu vào,Khuyến mãi (khoá tiếp theo)),"Số kỹ năng học viên muốn đăng ký(nghe, nói, đọc, viết)",Điểm test đầu ra,Mã giảng viên,Đánh giá giảng viên,Họ và tên giảng viên,Giới tính,Ngày sinh gv,Địa chỉ(quê quán gv),Số điện thoại gv,Quốc tịch giáo viên,Số kỹ năng khoá học
HV197,2012-08-12,2022-01-23,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,6.3,5%,4,4.6,GV04,1.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,2
HV198,2014-02-25,2021-06-17,English for Kids,Cha mẹ,3200000,24 buổi,Đạt,7.0,8%,2,8.1,GV04,2.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,2
HV199,2006-12-18,2020-09-23,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,6.4,15%,2,8.8,GV03,5.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,2
HV199,2006-12-18,2023-11-22,IELTS Intensive,Bản thân,10000000,25 buổi,Không đạt,5.1,15%,2,2.8,GV07,4.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,4
HV200,2007-11-24,2023-09-07,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,5.3,5%,3,8.7,GV01,4.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV200,2007-11-24,2021-09-15,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.8,,3,8.5,GV08,4.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,2
HV201,2001-03-02,2020-10-13,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,4.3,5%,2,8.4,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV201,2001-03-02,2022-06-18,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,4.7,15%,3,8.5,GV07,5.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,4
HV201,2001-03-02,2022-02-21,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,5.9,15%,3,8.3,GV05,3.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV202,1990-08-10,2020-05-06,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,5.9,15%,4,8.3,GV03,5.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,4
HV202,1990-08-10,2023-03-27,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,4.8,8%,4,8.8,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,4
HV202,1990-08-10,2022-12-07,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,4.0,15%,2,8.4,GV09,4.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV203,2001-01-04,2022-02-25,Ôn luyện THPTQG,Bản thân,1000000,tháng,Không đạt,6.8,,3,1.9,GV07,2.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV204,2009-10-12,2023-12-28,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,4.6,,3,3.6,GV08,2.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV205,2015-10-27,2022-12-06,English for Kids,Cha mẹ,3200000,24 buổi,Đạt,5.2,5%,4,8.7,GV08,2.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,2
HV206,2009-06-28,2020-05-13,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,4.7,5%,3,8.7,GV04,4.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,2
HV206,2009-06-28,2022-01-04,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,5.7,8%,4,4.1,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV207,2009-01-09,2022-02-05,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,6.1,15%,2,8.3,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,2
HV207,2009-01-09,2020-01-09,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,6.1,15%,4,8.5,GV02,3.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV208,2000-01-01,2023-02-03,B1,Bản thân,1000000,tháng,Đạt,5.7,15%,4,8.6,GV03,4.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,3
HV208,2000-01-01,2023-07-16,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,4.0,15%,2,8.3,GV09,3.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV208,2000-01-01,2021-05-17,Ôn luyện THPTQG,Bạn bè,1000000,tháng,Đạt,3.8,8%,4,8.2,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV209,1992-10-10,2023-07-18,IELTS Foundation,Bạn bè,10000000,25 buổi,Không đạt,5.2,5%,4,6.0,GV08,3.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,4
HV210,2001-10-18,2023-10-22,B1,Bản thân,1000000,tháng,Đạt,5.7,,3,8.5,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV210,2001-10-18,2022-02-16,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,5.7,15%,4,8.8,GV09,,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,4
HV211,2009-02-17,2021-10-08,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,6.0,5%,2,8.3,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV211,2009-02-17,2023-04-07,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.7,15%,2,8.8,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,2
HV212,1996-10-06,2022-04-04,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Không đạt,6.2,15%,2,3.7,GV07,5.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,3
HV212,1996-10-06,2020-04-20,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,6.7,,3,8.7,GV01,3.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,4
HV212,1996-10-06,2022-04-11,B1,Bản thân,1000000,tháng,Đạt,5.3,5%,4,8.7,GV03,5.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,3
HV213,2006-12-23,2022-01-13,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,3.7,,3,8.9,GV08,4.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV214,1997-08-03,2022-05-24,B1,Bản thân,1000000,tháng,Không đạt,5.6,,2,4.1,GV08,3.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV214,1997-08-03,2023-04-25,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,5.4,15%,3,8.6,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV214,1997-08-03,2022-03-04,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,4.1,8%,3,8.6,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV215,2015-02-14,2021-06-18,English for Kids,Cha mẹ,3200000,24 buổi,Đạt,5.1,,2,8.5,GV07,1.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,2
HV216,1998-06-24,2023-03-22,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,5.1,15%,4,8.5,GV08,4.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV216,1998-06-24,2021-02-14,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,4.7,15%,4,8.8,GV09,5.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV216,1998-06-24,2021-02-20,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,5.0,15%,2,8.2,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,4
HV217,2009-03-12,2023-08-28,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,8.7,,2,8.4,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV217,2009-03-12,2020-12-14,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.5,15%,3,8.3,GV05,3.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,2
HV218,1992-01-12,2021-10-17,B1,Bản thân,1000000,tháng,Đạt,5.2,,3,8.7,GV02,5.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV218,1992-01-12,2020-02-09,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,4.8,15%,3,8.2,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,3
HV218,1992-01-12,2023-12-11,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,5.3,5%,4,8.5,GV03,3.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,4
HV219,2014-09-24,2023-04-24,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,5.5,8%,3,5.8,GV04,1.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,2
HV220,2012-11-15,2022-09-02,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,5.5,5%,3,3.8,GV04,2.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,2
HV221,1991-07-19,2022-03-26,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,8.1,15%,3,8.5,GV08,5.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV221,1991-07-19,2021-06-24,B1,Bản thân,1000000,tháng,Đạt,5.7,15%,3,8.6,GV09,3.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV221,1991-07-19,2023-08-22,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,6.4,15%,4,8.8,GV02,3.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV222,2010-09-16,2023-06-28,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,6.3,8%,3,8.3,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,2
HV222,2010-09-16,2021-05-09,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,3.9,15%,4,8.9,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV223,2001-07-26,2023-12-23,Thuyết trình,Bản thân,3400000,24 buổi,Không đạt,4.8,15%,3,5.0,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV223,2001-07-26,2022-02-25,B1,Bạn bè,1000000,tháng,Đạt,5.6,15%,2,8.4,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV224,2009-11-19,2021-02-07,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,5.8,15%,4,6.5,GV01,2.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV224,2009-11-19,2023-05-06,English for Teens,Cha mẹ,3200000,24 buổi,Không đạt,5.6,15%,2,4.9,GV01,4.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV225,1991-03-10,2021-04-01,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,5.9,5%,3,8.6,GV08,4.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,4
HV225,1991-03-10,2022-02-07,Thuyết trình,Bản thân,3400000,24 buổi,Đạt,6.4,,3,8.6,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV226,2005-02-13,2020-07-28,English for Teens,Cha mẹ,3200000,24 buổi,Không đạt,5.0,,4,3.3,GV02,2.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,2
HV227,2002-12-16,2023-03-14,IELTS Foundation,Bản thân,10000000,25 buổi,Không đạt,4.5,,2,4.4,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
HV227,2002-12-16,2023-11-26,Ôn luyện THPTQG,Bản thân,1000000,tháng,Đạt,5.6,15%,3,8.6,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV228,2012-10-24,2023-06-09,English for Teens,Cha mẹ,3200000,24 buổi,Không đạt,5.9,8%,2,1.9,GV03,2.0,Trần Thị Hồng,Nữ,1988-03-03,"Số 3, ngõ 42, phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, thành phố Hà Nội",934567891,VN,2
HV229,2015-06-26,2021-10-13,English for Kids,Cha mẹ,3200000,24 buổi,Đạt,5.4,8%,3,8.4,GV01,3.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV230,1995-01-26,2022-08-06,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,5.4,5%,4,9.1,GV08,4.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,4
HV230,1995-01-26,2022-01-23,IELTS Foundation,Bản thân,10000000,25 buổi,Không đạt,5.0,15%,4,4.0,GV02,3.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV231,2014-10-20,2020-06-20,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,6.0,5%,2,3.8,GV05,2.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,2
HV232,2007-04-26,2021-08-06,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,5.4,8%,4,8.5,GV05,4.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,3
HV232,2007-04-26,2020-12-25,English for Teens,Cha mẹ,3200000,24 buổi,Không đạt,5.8,8%,2,5.1,GV09,5.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,2
HV233,2004-04-20,2023-08-07,B1,Bạn bè,1000000,tháng,Đạt,5.8,15%,2,8.3,GV06,5.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV233,2004-04-20,2022-07-15,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,5.8,15%,2,8.5,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,4
HV233,2004-04-20,2022-11-03,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,6.6,8%,2,8.5,GV09,4.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,4
HV234,2008-05-26,2021-11-25,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Đạt,4.6,5%,4,8.5,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV234,2008-05-26,2023-09-13,English for Teens,Cha mẹ,3200000,24 buổi,Đạt,5.0,15%,2,8.3,GV01,3.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,2
HV235,1998-05-14,2023-04-10,Pre_IELTS,Bản thân,10000000,24 buổi,Không đạt,5.3,15%,4,4.7,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,4
HV235,1998-05-14,2020-06-21,Thuyết trình,Bạn bè,3400000,24 buổi,Đạt,6.1,15%,3,8.6,GV08,5.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV236,2012-11-08,2021-11-06,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,4.9,8%,3,4.5,GV07,1.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,2
HV237,2007-08-20,2022-04-13,Ôn luyên vào 10,Cha mẹ,1000000,tháng,Không đạt,4.8,,4,4.7,GV09,2.0,Trần Thị Lan,Nữ,1994-09-09,"Số 9, ngõ 20, phố Trần Hưng Đạo, phường Lê Chân, thành phố Hải Phòng, tỉnh Hải Phòng",990129457,VN,3
HV238,2015-07-21,2022-11-08,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,5.7,5%,4,3.1,GV06,3.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,2
HV239,2014-07-11,2023-12-03,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,4.3,,2,5.3,GV07,1.0,Nguyễn Văn Hùng,Nam,1992-07-07,"Số 7, ngõ 100, phố Nguyễn Thái Học, phường Quang Trung, thành phố Thái Nguyên, tỉnh Thái Nguyên",978903235,VN,2
HV240,2013-05-15,2020-02-02,English for Kids,Cha mẹ,3200000,24 buổi,Không đạt,3.2,8%,4,5.2,GV02,1.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,2
HV241,1995-09-16,2021-06-13,Tiếng anh giao tiếp,Bản thân,7200000,24 buổi,Đạt,5.5,5%,3,8.5,GV08,3.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV241,1995-09-16,2020-04-19,B1,Bản thân,1000000,tháng,Đạt,2.9,,4,8.3,GV06,4.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,3
HV241,1995-09-16,2020-01-07,Pre_IELTS,Bạn bè,10000000,24 buổi,Đạt,5.3,15%,2,8.6,GV05,5.0,Hoàng Thị Mai,Nữ,1990-05-05,"Số 5, ngõ 195, phố Ngọc Lâm, phường Ngọc Lâm, quận Long Biên, thành phố Hà Nội",956789013,VN,4
HV242,2003-05-14,2022-04-23,Pre_IELTS,Bạn bè,10000000,24 buổi,Đạt,5.4,,4,8.5,GV06,1.0,Phạm Thị Anh,Nữ,1991-06-06,"Số 6, phố Trần Phú, phường Nguyễn Trãi, quận Hà Đông, thành phố Hà Nội",967890124,VN,4
HV243,2001-04-14,2020-02-14,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,6.2,8%,2,8.4,GV04,2.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
HV243,2001-04-14,2022-08-25,Thuyết trình,Bạn bè,3400000,24 buổi,Đạt,5.9,15%,4,8.2,GV01,3.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,3
HV243,2001-04-14,2023-06-23,Pre_IELTS,Bản thân,10000000,24 buổi,Đạt,5.9,15%,2,8.7,GV01,5.0,Nguyễn Thị Thanh,Nữ,1986-01-01,"Số 1, phố Lý Thái Tổ, phường Hoàn Kiếm, quận Hoàn Kiếm, thành phố Hà Nội",912045579,VN,4
HV244,1997-03-09,2021-08-05,IELTS Intensive,Bản thân,10000000,25 buổi,Đạt,4.7,15%,4,8.6,GV02,4.0,Lê Văn Dũng,Nam,1987-02-02,"Số 2, đường Nguyễn Chí Thanh, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội",923456780,VN,4
HV244,1997-03-09,2020-07-18,Ôn luyện THPTQG,Bản thân,1000000,tháng,Đạt,5.3,15%,3,8.5,GV08,3.0,Lê Thị Huyền,Nữ,1993-08-08,"Số 8, phố Hùng Vương, phường Ngô Quyền, thành phố Hải Phòng, tỉnh Hải Phòng",989092346,VN,3
HV244,1997-03-09,2020-05-04,IELTS Foundation,Bản thân,10000000,25 buổi,Đạt,3.5,15%,2,8.3,GV04,5.0,Nguyễn Đức Hà,Nam,1989-04-04,"Số 4, phố Trần Hưng Đạo, phường Cửa Nam, quận Hoàn Kiếm, thành phố Hà Nội",945678902,VN,4
